Name,Count
Crop Rotation,1
Daze,1
Heat Shimmer,1
Cryptic Command,1
Bitterblossom,1
Door of Destinies,1
Painter's Servant,1
Bloom Tender,1
Maelstrom Pulse,1
Ornithopter,1
Creeping Tar Pit,1
Mortarpod,1
Think Twice,1
Thespian's Stage,1
Bident of Thassa,1
Defiant Strike,1
Feat of Resistance,1
Venerable Lammasu,1
Glacial Stalker,1
Monastery Flock,1
Mystic of the Hidden Way,1
Riverwheel Aerialists,1
Disowned Ancestor,1
Grim Haruspex,1
Arrow Storm,1
Shatter,1
Deflecting Palm,1
Icefeather Aven,1
Kheru Lich Lord,1
Master the Way,1
Rakshasa Deathdealer,1
Sultai Ascendancy,1
Villainous Wealth,1
Abzan Banner,1
Lens of Clarity,1
Hangarback Walker,1
Tireless Tracker,1
Smuggler's Copter,1
Goring Ceratops,1
Settle the Wreckage,1
Overflowing Insight,1
Storm Fleet Spy,1
Queen's Agent,1
Ruin Raider,1
Brazen Buccaneers,1
Commune with Dinosaurs,1
Ranging Raptors,1
Snapping Sailback,1
"Gishath, Sun's Avatar",1
Cobbled Wings,1
Gilded Sentinel,1
Dusk Legion Zealot,1
Brass's Bounty,1
Rekindling Phoenix,1
Shatter,1
Thrashing Brontodon,1
World Shaper,1
Forsaken Sanctuary,1
Cinder Barrens,1
"Kwende, Pride of Femeref",1
Lyra Dawnbringer,1
Divination,1
"Yargle, Glutton of Urborg",1
"Traxos, Scourge of Kroog",1
"Ajani, Adversary of Tyrants",1
Angel of the Dawn,1
Inspired Charge,1
Loxodon Line Breaker,1
Make a Stand,1
Revitalize,1
Aven Wind Mage,1
Divination,1
Dwindle,1
Frilled Sea Serpent,1
Gearsmith Prodigy,1
Ghostform,1
One with the Machine,1
Scholar of Stars,1
Skilled Animator,1
Sleep,1
Uncomfortable Chill,1
Death Baron,1
Doomed Dissenter,1
Infernal Scarring,1
Lich's Caress,1
Phylactery Lich,1
Stitcher's Supplier,1
Two-Headed Zombie,1
Vampire Sovereign,1
Goblin Trashmaster,1
Havoc Devils,1
Smelt,1
Tectonic Rift,1
Volcanic Dragon,1
Daggerback Basilisk,1
Declare Dominance,1
Druid of Horns,1
Talons of Wildwood,1
Thornhide Wolves,1
Wall of Vines,1
Draconic Disciple,1
Regal Bloodlord,1
Field Creeper,1
Gargoyle Sentinel,1
Manalith,1
Marauder's Axe,1
Suspicious Bookcase,1
Cinder Barrens,1
Detection Tower,1
Forsaken Sanctuary,1
Nexus of Fate,1
Angelic Guardian,1
Immortal Phoenix,1
Murmuring Mystic,1
Dead Weight,1
District Guide,1
Assassin's Trophy,1
Thousand-Year Storm,1
Overgrown Tomb,1
Steam Vents,1
Temple Garden,1
Spiritual Guardian,1
