Name,Count
Murderous Rider,1
Order of Midnight,1
Smitten Swordmaster,1
Rimrock Knight,1
Sejiri Shelter,1
Jwari Disruption,1
Akoum Warrior,1
Khalni Ambush,1
Sun-Blessed Guardian,1
Invasion of Mercadia,1
Besotted Knight,1
Virtue of Knowledge,1
Hearth Elemental,1
Two-Headed Hunter,1
Virtue of Courage,1
Beluna Grandsquall,1
Decadent Dragon,1
Frolicking Familiar,1
"Kellan, the Fae-Blooded",1
Scalding Viper,1
Unstable Glyphbridge,1
"Aclazotz, Deepest Betrayal",1
Grasping Shadows,1
Visage of Dread,1
Dire Flail,1
Idol of the Deep King,1
Kaslem's Stonetree,1
"Ojer Kaslem, Deepest Growth",1
"Matzalantli, the Great Door",1
Porcine Portent,1
Sink into Stupor,1
Sejiri Shelter,1
Jwari Disruption,1
Akoum Warrior,1
Rimrock Knight,1
Khalni Ambush,1
"Jill, Shiva's Dominant",1
Vincent Valentine,1
The Legend of Roku,1
The Legend of Kyoshi,1
"Aang, at the Crossroads",1
"Aang, Swift Savior",1
Murderous Rider,1
Peter Parker,1
Norman Osborn,1
Gwen Stacy,1
"Eirdu, Carrier of Dawn",1
"Sygg, Wanderwine Wisdom",1
"Trystan, Callous Cultivator",1
Emeritus of Ideation,1
Scheming Silvertongue,1
Pigment Wrangler,1
Infirmary Healer,1
"Tam, Observant Sequencer",1
"Gandalf, Goblins' Bane",1
My Precious,1
Bruce Banner,1
King T'Challa,1
Reaper of Night,2
Tuinvale Treefolk,2
Pelakka Predation,2
Kazuul's Fury,2
Bala Ged Recovery,2
Vorinclex,2
Cheeky House-Mouse,2
Aquatic Alchemist,2
Picklock Prankster,2
Minecart Daredevil,2
Beanstalk Wurm,2
Hollow Scavenger,2
Stormkeld Vanguard,2
Questing Druid,2
Spellscorn Coven,2
Tempest Hart,2
Woodland Acolyte,2
The Enigma Jewel,2
"Ojer Axonil, Deepest Might",2
Jade Seedstones,2
Twists and Turns,2
Pelakka Predation,2
Bala Ged Recovery,2
"Exdeath, Void Warlock",2
The Legend of Yangchen,2
"Grub, Storied Matriarch",2
Emeritus of Truce,2
Encouraging Aviator,2
Skycoach Conductor,2
Blazing Firesinger,2
Emeritus of Conflict,2
Maelstrom Artisan,2
Emeritus of Abundance,2
Vastlands Scavenger,2
"Kirol, History Buff",2
Most Decrepit Old Bird,2
"Thranduil, Sindarin Liege",2
Jennifer Walters,2
Curious Pair,3
Teachings of the Kirin,3
Gumdrop Poisoner,3
Callous Sell-Sword,3
Picnic Ruiner,3
Dowsing Device,3
Twinmaw Stormbrood,3
Crystal Fragments,3
"Jecht, Reluctant Guardian",3
"Clive, Ifrit's Dominant",3
Sidequest: Play Blitzball,3
"Garland, Knight of Cornelia",3
"Terra, Magical Adept",3
"Ishgard, the Holy See",3
"Lindblum, Industrial Regency",3
"Midgar, City of Mako",3
"Zanarkand, Ancient Metropolis",3
Grave Researcher,3
Leech Collector,3
"Abigale, Poet Laureate",3
"Lluwen, Exchange Student",3
"Bofur, Reliable Guardian",3
"Bilbo, Luckwearer",3
Great Ugly-Looking Goblin,3
"Glamdring, Foe-hammer",3
Delver of Secrets,4
Reckless Stormseeker,4
Kumano Faces Kakkazan,4
Invasion of Arcavios,4
Invasion of Zendikar,4
Virtue of Persistence,4
Gingerbread Hunter,4
Mosswood Dreadknight,4
Clay-Fired Bricks,4
Spring-Loaded Sawblades,4
Thousand Moons Smithy,4
Braided Net,4
Lodestone Needle,4
Tithing Blade,4
"Kellan, Daring Traveler",4
Riling Dawnbreaker,4
Dirgur Island Dragon,4
Marang River Regent,4
Feral Deathgorger,4
Scavenger Regent,4
Stormshriek Feral,4
Bloomvine Regent,4
Sagu Wildling,4
Disruptive Stormbrood,4
Purging Stormbrood,4
Runescale Stormbrood,4
Whirlwing Stormbrood,4
"Dion, Bahamut's Dominant",4
Sidequest: Catch a Fish,4
"Venat, Heart of Hydaelyn",4
Sidequest: Card Collection,4
"Cecil, Dark Knight",4
"Sephiroth, Fabled SOLDIER",4
Sidequest: Hunt the Mark,4
Zenos yae Galvus,4
Esper Origins,4
Sidequest: Raise a Chocobo,4
"Emet-Selch, Unsundered",4
The Emperor of Palamecia,4
"Joshua, Phoenix's Dominant",4
"Kefka, Court Mage",4
"Kuja, Genome Sorcerer",4
Serah Farron,4
"Ultimecia, Time Sorceress",4
"Balamb Garden, SeeD Academy",4
"Jidoor, Aristocratic Capital",4
The Rise of Sozin,4
Elite Interceptor,4
Honorbound Page,4
Quill-Blade Laureate,4
Campus Composer,4
"Jadzi, Steward of Fate",4
Landscape Painter,4
Spellbook Seeker,4
Adventurous Eater,4
Cheerful Osteomancer,4
Scathing Shadelock,4
Goblin Glasswright,4
Strife Scholar,4
Studious First-Year,4
"Sanar, Unfinished Genius",4
Velvetwing Butterflies,4
"Bilbo Baggins, Burglar",4
Lake-town Mariners,4
"Gollum, Silent Slinker",4
Glóin the Mighty,4
"Smaug, the Great Calamity",4
"Beorn, Reluctant Host",4
Crescendo Conductor,4
